Employee Number (Person),Employment Status (Person),Post Type (Post Profile),Appointment Status (Appointment),Pay Group (Person),Full Name (Person),Grade,Post Title (Post Profile),Directorate,Department,Family Friendly Absence Days,Absence Days,Sick Days,Certified Sick Days,Certified Sick Paid Days,Certified Sick Unpaid Days,Self Certified Sick Days,Self Certified Sick Paid Days,Annual Accrued Entitlement,Annual Floating Entitlement,Annual Carried Forward,Annual Total Entitlement,Annual Taken,Annual Balance,Annual Booked,Annual Balance Less Booked
100767,Live,TP,CO,SALARIES,Christopher Ortega,6,ASSISTANT STAFF OFFICER,CORPORATE AFFAIRS,PLANNING,0,3,No Sick Leave Record,0,100551,100827,3,100076,0,29,5,35,No Annual Leave Record,18,3,8
101252,Live,PW,CO,SALARIES,Alicia Davis,4,SENIOR STAFF OFFICER,PLANNING & ECONOMIC DEVELOPMENT,PARKS,0,0.02,6,0,100588,100741,No Sick Leave Record,100764,0,27,4.5,No Annual Leave Record,7.5,9,4,8
100602,Live,PW,CO,FORTNIGHTLY WAGES - DLR,James Knight DDS,6,STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,PLANNING,No Sick Leave Record,11.08,0,0,100891,100412,No Sick Leave Record,100446,0,16,4.5,32.5,10,3,4.5,13.5
100410,Live,TW,CO,SALARIES,Christopher Smith,5,SUPERVISING INSPECTOR WATER - OPERATIONS,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,2,No Sick Leave Record,100742,100582,2.5,100600,0,27,0,34,12,13,6,15
100001,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Samantha Lopez,5,GANGER,PLANNING & ECONOMIC DEVELOPMENT,IT,0,0,0,No Sick Leave Record,100598,100853,0,100871,0,30,4,29,17,14,4,7
100230,Live,,CO,SALARIES,Zachary Taylor,4,EXECUTIVE TECHNICIAN,INFRASTRUCTURE & CLIMATE CHANGE,CORPORATE SERVICES,0,4.17,3,No Sick Leave Record,100997,100383,0,101298,No Annual Leave Record,30,No Annual Leave Record,No Annual Leave Record,22,7,8,6.5
100076,Live,PW,CO,SALARIES,Elizabeth Baker,No Grade,GENERAL OPERATIVE,"COMMUNITY, CULTURAL SERVICES & PARKS",LAW,No Sick Leave Record,0,0,No Sick Leave Record,101358,101129,No Sick Leave Record,101332,0,No Annual Leave Record,0,34,10.5,12,3,No Annual Leave Record
100216,Live,PW,CO,SALARIES,Jennifer Conway,No Grade,SENIOR LEGAL ASSISTANT,INFRASTRUCTURE & CLIMATE CHANGE,PLANNING,No Sick Leave Record,0,No Sick Leave Record,0,101360,101074,No Sick Leave Record,101163,0,30,No Annual Leave Record,35,16,No Annual Leave Record,No Annual Leave Record,22.5
100280,Live,PW,CO,SALARIES,Jessica Hogan,No Grade,SENIOR ENGINEER,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,101119,100739,0,100715,0,30,5,35,18,24.5,0,No Annual Leave Record
100968,Live,PW,CO,FORTNIGHTLY WAGES - DLR,William Hernandez,5,ADMINISTRATIVE OFFICER,FINANCE & WATER SERVICES,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100667,100834,No Sick Leave Record,100542,0,No Annual Leave Record,5,31,10.5,No Annual Leave Record,0,14
101355,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Stephanie Norris,No Grade,SENIOR EXECUTIVE QUANTITY SURVEYOR,INFRASTRUCTURE & CLIMATE CHANGE,HARBOUR,0,No Sick Leave Record,0,No Sick Leave Record,101287,101100,0,101287,No Annual Leave Record,30,5.5,34,No Annual Leave Record,8,0,8
100670,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Lisa Morales,No Grade,STAFF OFFICER,PLANNING & ECONOMIC DEVELOPMENT,HOUSING,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,0,101171,100710,No Sick Leave Record,101251,0,30,3,13,18.5,14,3,9.5
100406,Live,PW,CO,SALARIES,Robert Nelson,3,ASSISTANT STAFF OFFICER,CORPORATE AFFAIRS,CULTURE,No Sick Leave Record,3.07,No Sick Leave Record,0,100562,100251,0,101123,0,No Annual Leave Record,0,23.5,16,10,3,11.5
101352,Live,PW,CO,SALARIES,Lisa Daniel MD,No Grade,SENIOR EXECUTIVE OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100893,101171,0,101117,0,30,4,31,No Annual Leave Record,10.5,No Annual Leave Record,16
100903,Live,PW,CO,SALARIES,Peter Velasquez,4,SENIOR EXECUTIVE OFFICER,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,100126,101343,No Sick Leave Record,100202,0,30,5,24.5,11,10,0,10
100059,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Jennifer Lopez,6,GENERAL OPERATIVE,PLANNING & ECONOMIC DEVELOPMENT,INFRASTRUCTURE & CLIMATE CHANGE,0,0,No Sick Leave Record,1.5,100026,100148,0,100802,0,13.5,0.5,31,33,12,7.5,3.5
101054,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Scott Lara,No Grade,DIRECTOR OF SERVICE,"COMMUNITY, CULTURAL SERVICES & PARKS",FINANCE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101036,100480,5,100541,0,27,5,30,14,4.5,3,No Annual Leave Record
100924,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Lucas Mitchell,7,I.S. PROJECT LEADER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,3,101085,100085,No Sick Leave Record,100625,0,30,2.5,35,No Annual Leave Record,14,7,5.5
101058,Live,TW,CO,SALARIES,Jacqueline Klein,7,GANGER,INFRASTRUCTURE & CLIMATE CHANGE,FINANCE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,0,101166,100866,0,100841,0,29,5,No Annual Leave Record,21,21,3,21.5
100137,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Gary Bailey,7,SYSTEMS ANALYST,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,0,0.57,No Sick Leave Record,No Sick Leave Record,101176,101271,0,100268,0,No Annual Leave Record,No Annual Leave Record,33.5,No Annual Leave Record,23,10,3
100150,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Shannon Navarro,3,EXECUTIVE ARCHITECT,CORPORATE AFFAIRS,PARKS,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100897,100405,No Sick Leave Record,100231,0,No Annual Leave Record,0,35,24,4,15,2.5
100553,Live,TP,CO,FORTNIGHTLY WAGES - DLR,William Watts DDS,3,GULLY SUCKER DRIVER,PLANNING & ECONOMIC DEVELOPMENT,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100798,100615,0,100985,0,No Annual Leave Record,0,35.5,12,17,3,1.5
100163,Live,PW,CO,SALARIES,Kathryn Barrett,7,ASSISTANT STAFF OFFICER,HOUSING,COMMUNITY,0,No Sick Leave Record,17,No Sick Leave Record,100678,100860,No Sick Leave Record,101226,0,24,4.5,36,22.5,20,4,4
101020,Live,PW,CO,SALARIES,Richard Lopez,No Grade,CLERICAL OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",FINANCE,No Sick Leave Record,0,No Sick Leave Record,7,101097,100659,0,100751,0,24,5,14,22.5,18,3,1.5
100166,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Zachary Padilla,5,GRADUATE PROGRAMME,FINANCE & WATER SERVICES,PARKS,0,0,1,No Sick Leave Record,100575,100235,0,100537,No Annual Leave Record,30,3,28.5,9,12,3,7.5
100404,Live,PW,CO,SALARIES,Andrea Jackson,No Grade,YARD SUPERINTENDENT BALLYOGAN,INFRASTRUCTURE & CLIMATE CHANGE,IT,No Sick Leave Record,16.5,0,0,101359,100925,No Sick Leave Record,101186,0,25,No Annual Leave Record,24,23.5,26,3,5.5
100456,Live,PW,CO,SALARIES,Katherine Molina,No Grade,STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,0,0,100475,100050,No Sick Leave Record,100962,0,30,5,29,7,12,No Annual Leave Record,4
100450,Live,PW,CO,FORTNIGHTLY WAGES - DLR,David Stewart,No Grade,SENIOR ENTERPRISE DEVELOPMENT OFFICER,FORWARD PLANNING INFRASTRUCTURE,WATER SERVICES,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100526,100196,2,100550,0,30,0,34,20,9,3,9.5
101221,Live,PW,CO,SALARIES,Donald Moreno,6,GRADUATE ENGINEER,INFRASTRUCTURE & CLIMATE CHANGE,CORPORATE SERVICES,0,0,0,No Sick Leave Record,100224,100342,No Sick Leave Record,100362,0,30,4.5,28.5,No Annual Leave Record,9,3,2.5
101006,Live,PW,CO,SALARIES,Carlos Simmons,3,SCHOOL WARDEN,INFRASTRUCTURE & CLIMATE CHANGE,CULTURE,0,No Sick Leave Record,1,3,101308,101254,0,101209,0,No Annual Leave Record,0,30,12,18.5,0,12.5
100512,Live,PW,CO,SALARIES,Sarah Johnson,5,SENIOR STAFF OFFICER,LAW,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,101241,100093,No Sick Leave Record,100018,0,30,3,27,10,5,3,0.5
100428,Live,PW,CO,SALARIES,Tiffany Ortiz,6,CLERICAL OFFICER,PLANNING & ECONOMIC DEVELOPMENT,HOUSING,0,No Sick Leave Record,No Sick Leave Record,1,101128,101274,0,101296,0,28,5,29,12.5,8,No Annual Leave Record,9.5
100896,Live,PW,CO,SALARIES,Diana Wright,7,SCHOOL WARDEN,FINANCE & WATER SERVICES,HOUSING,0,No Sick Leave Record,0,No Sick Leave Record,100134,100890,0,101008,0,28,0.5,28,2,13,5,14
100106,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Robert Martin,3,CE SCHEME,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,No Sick Leave Record,25.01,0,0,100693,100793,No Sick Leave Record,101057,0,23.5,5,29,8,12.5,No Annual Leave Record,5
100834,Live,PW,CO,SALARIES,Gregory Jarvis MD,No Grade,CLERICAL OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",CORPORATE SERVICES,No Sick Leave Record,45.1,No Sick Leave Record,No Sick Leave Record,100414,100492,1,100613,No Annual Leave Record,30,5,23,16.5,No Annual Leave Record,4,7
101358,Live,PW,CO,SALARIES,Jamie Cortez,6,FOREMAN TRADESMAN,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,4,0,100310,100673,2,100732,0,24,0,35,25.5,11,0,No Annual Leave Record
100314,Live,PW,CO,SALARIES,Arthur Campbell,No Grade,EXECUTIVE TECHNICIAN,CORPORATE AFFAIRS,HOUSING,0,No Sick Leave Record,0,No Sick Leave Record,100092,100006,0,100903,0,30,No Annual Leave Record,35,No Annual Leave Record,15,4,1.5
100937,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Kelly Hawkins,6,SCHOOL WARDEN,INFRASTRUCTURE & CLIMATE CHANGE,CORPORATE SERVICES,0,3,No Sick Leave Record,No Sick Leave Record,100451,100108,No Sick Leave Record,100398,0,27,5,No Annual Leave Record,16.5,No Annual Leave Record,20,12
100372,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Brittany Bentley,No Grade,I.S. TECHNICAL OFFICER,HOUSING,PARKS,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,100862,100887,No Sick Leave Record,101328,0,29,4,23.5,18.5,No Annual Leave Record,3,9
100826,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Joseph Hill,7,OPERATOR TRACTOR,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,0,0,1,0,100644,100642,No Sick Leave Record,101212,0,24,1,24,13,10,8,9
101337,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Jessica Potter,5,ADMINISTRATIVE OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",CORPORATE SERVICES,0,No Sick Leave Record,0,0,100720,100564,1,101347,0,25,5,29,11.5,9,3,4.5
100894,Live,PW,CO,SALARIES,Curtis Lam,8,ASSISTANT STAFF OFFICER,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,24,0,100827,100583,No Sick Leave Record,100647,0,24,4,30,27,9,3,No Annual Leave Record
100827,Live,PW,CO,SALARIES,Paul Sellers,No Grade,BUILDING INSPECTOR/ CLERK OF WORKS,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,No Sick Leave Record,No Sick Leave Record,0,0,101329,100111,No Sick Leave Record,101178,0,24,3,No Annual Leave Record,12,10,22,13
100528,Live,PW,CO,SALARIES,Lindsay Pierce,5,PICK UP DRIVER SHIFT,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,100940,100259,2,100493,0,30,5,45,11,7,0,13.5
100371,Live,PW,CO,SALARIES,Jeffrey Lopez,4,EXECUTIVE ENGINEER,"COMMUNITY, CULTURAL SERVICES & PARKS",PARKS,No Sick Leave Record,No Sick Leave Record,0,0,100323,100649,0,100405,0,30,2,35,28,9.5,No Annual Leave Record,8
100591,Live,PW,CO,SALARIES,Nicholas Rodriguez,7,ASSISTANT STAFF OFFICER,FINANCE & WATER SERVICES,PARKS,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100388,100636,2,100130,No Annual Leave Record,30,3,29,15,14.5,11.5,11
100453,Live,PW,CO,SALARIES,Jeff Bryant,No Grade,LIBRARY ASSISTANT,PLANNING & ECONOMIC DEVELOPMENT,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,0,0,100230,100007,0,101356,0,28,0,13.5,22,8.5,16,2
100509,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Devon Solis,No Grade,DRIVER,"COMMUNITY, CULTURAL SERVICES & PARKS",HOUSING,No Sick Leave Record,0,No Sick Leave Record,10,100377,100112,0,100105,0,29,5,28,6.5,20,0,14
100189,Live,PW,CO,SALARIES,Anthony Hebert,No Grade,CLERICAL OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",WATER SERVICES,0,0,No Sick Leave Record,No Sick Leave Record,100344,100523,No Sick Leave Record,100643,No Annual Leave Record,No Annual Leave Record,No Annual Leave Record,24,17,6.5,3,2
100476,Live,PW,CO,SALARIES,Dr. Kenneth Mullins,6,FOREMAN TRADESMAN,ARCHITECTS,PARKS,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,0,100398,100140,0,100492,0,24,1,30,9.5,28,9.5,12
100681,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Carol Garcia,5,STAFF OFFICER,HOUSING,PLANNING,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100907,101132,0,100396,0,30,No Annual Leave Record,16.5,24,16,3,0.5
101265,Live,PW,CO,SALARIES,Richard Newman,No Grade,GENERAL OPERATIVE,PLANNING & ECONOMIC DEVELOPMENT,INFRASTRUCTURE & CLIMATE CHANGE,0,0.21,No Sick Leave Record,0,101159,100829,0,100665,0,24,2,9,26,18,13,11
100835,Live,TP,CO,SALARIES,James Gray,No Grade,WATER SERVICES INSPECTOR,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,0,No Sick Leave Record,0,0,100339,100298,1,101041,0,27,No Annual Leave Record,24,19,9,3,11.5
100801,Live,PW,CO,SALARIES,Tyler Schwartz,6,STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,100367,100961,0,100888,0,24,0,35,23,13,0,5
100311,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Rachel Wiggins,4,LIBRARY ASSISTANT,HOUSING,WATER SERVICES,0,0.1,No Sick Leave Record,0,101252,100520,No Sick Leave Record,100607,No Annual Leave Record,32,0,29.5,14,17,5,11.5
100875,Live,PW,CO,SALARIES,Bianca Murray,No Grade,ASSISTANT STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",HOUSING,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,100088,100426,No Sick Leave Record,101025,0,29,0,29,11.5,No Annual Leave Record,0,No Annual Leave Record
100012,,PW,CO,SALARIES,Jennifer Barron,3,ADMINISTRATIVE OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,No Sick Leave Record,No Sick Leave Record,49,No Sick Leave Record,100811,100637,3,100991,0,No Annual Leave Record,2,31,13,7.5,13,No Annual Leave Record
100356,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Cassie Hicks,7,CE SCHEME,PLANNING & ECONOMIC DEVELOPMENT,HOUSING,No Sick Leave Record,No Sick Leave Record,0,0,101153,101360,0,100017,0,21,0,31,24,11.5,7,6
100768,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Samantha Smith,6,ASSISTANT STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",PARKS,0,2,No Sick Leave Record,No Sick Leave Record,100892,100425,0,101300,0,32,5,13.5,24,6,0,6.5
100658,Live,PW,CO,,Michele Johnson,4,GENERAL OPERATIVE,INFRASTRUCTURE & CLIMATE CHANGE,PARKS,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,101228,101091,No Sick Leave Record,101125,0,28,0,32,17,22.5,0,5.5
100683,Live,PW,CO,SALARIES,Amber Smith,No Grade,CLERICAL OFFICER,FINANCE & WATER SERVICES,FINANCE,0,15.01,0,No Sick Leave Record,101117,101151,No Sick Leave Record,101225,0,30,0,33,8.5,9,3,13
100586,Live,PW,CO,SALARIES,Samuel Whitehead,3,ADMINISTRATIVE OFFICER,FINANCE & WATER SERVICES,IT,0,No Sick Leave Record,No Sick Leave Record,0,100374,100442,No Sick Leave Record,100124,0,30,5,30,9,13,No Annual Leave Record,12
100493,Live,PW,CO,SALARIES,Michael Fischer,6,LIBRARY ASSISTANT,"COMMUNITY, CULTURAL SERVICES & PARKS",HOUSING,No Sick Leave Record,0,No Sick Leave Record,0,100312,101247,No Sick Leave Record,100216,0,24,0,23.5,15.5,6.5,3,No Annual Leave Record
100468,Live,PW,AP,FORTNIGHTLY WAGES - DLR,John Wolfe,3,DRIVER SHIFT HARBOUR,CORPORATE AFFAIRS,CHERRYWOOD,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,100028,101269,0,100671,0,18,No Annual Leave Record,No Annual Leave Record,7,10.5,0,10
100578,Live,PW,CO,SALARIES,Larry Weaver,6,MINI SWEEPER DRIVER SHIFT,"COMMUNITY, CULTURAL SERVICES & PARKS",FINANCE,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,100355,100658,No Sick Leave Record,100999,0,No Annual Leave Record,5,26.5,8,No Annual Leave Record,3,1.5
100176,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Mark Greer,4,SENIOR ENGINEER,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,0,No Sick Leave Record,0,3,100356,101043,0,100083,0,10,2.5,29,9,11.5,6,5
100057,Live,PW,CO,SALARIES,Isaiah Allen,7,ASSISTANT PLANNER,HOUSING,WATER SERVICES,0,No Sick Leave Record,0,36,101091,100768,No Sick Leave Record,100388,0,No Annual Leave Record,4.5,No Annual Leave Record,23,No Annual Leave Record,0,2
100125,Live,PW,CO,SALARIES,Bryan Clayton,6,EXECUTIVE ARCHITECT,INFRASTRUCTURE & CLIMATE CHANGE,IT,0,No Sick Leave Record,No Sick Leave Record,0,100439,100018,No Sick Leave Record,100926,0,15,5,No Annual Leave Record,No Annual Leave Record,10.5,0,3
100650,Live,PW,CO,SALARIES,Nancy Wyatt,7,DRIVER,HOUSING,CHERRYWOOD,0,0,0,No Sick Leave Record,100346,101097,0,100082,0,No Annual Leave Record,No Annual Leave Record,24,12,10,0,14.5
100872,Live,PW,CO,SALARIES,Ashley Ray,8,ASSISTANT STAFF OFFICER,CORPORATE AFFAIRS,HOUSING,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100011,101164,No Sick Leave Record,100847,No Annual Leave Record,24,0,25,15.5,20.5,0,10
100045,Live,PW,CO,,Jennifer Nunez,6,FIT APPRENTICESHIP SCHEME,PLANNING & ECONOMIC DEVELOPMENT,WATER SERVICES,0,0,0,No Sick Leave Record,101020,101189,0,100422,0,29,0,35,17,11,3,No Annual Leave Record
100595,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Kelly Olson,3,RESIDENT ENGINEER TEMPORARY,HOUSING,CULTURE,No Sick Leave Record,No Sick Leave Record,5.5,No Sick Leave Record,100759,100274,No Sick Leave Record,100623,0,30,0,34,No Annual Leave Record,21,3,20.5
100747,Live,PW,CO,SALARIES,Louis King,6,HARBOUR CONSTABLE,INFRASTRUCTURE & CLIMATE CHANGE,PLANNING,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101095,100042,2,101245,0,17.5,0,34,25,11,4.5,5
100196,Live,TW,CO,SALARIES,Jeffrey Maldonado,3,GENERAL OPERATIVE,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,0,101315,100338,No Sick Leave Record,100695,No Annual Leave Record,27,5,29,No Annual Leave Record,14,1,6
101027,Live,PW,CO,SALARIES,Jill Brady,7,GRADUATE PROGRAMME,"COMMUNITY, CULTURAL SERVICES & PARKS",HOUSING,No Sick Leave Record,4,No Sick Leave Record,No Sick Leave Record,100157,100608,No Sick Leave Record,100927,0,17.5,0,33,0,7,11,No Annual Leave Record
100715,Live,TP,CO,SALARIES,Anna Drake,8,EXECUTIVE ARCHITECT,HOUSING,PARKS,No Sick Leave Record,2,0,No Sick Leave Record,100503,100035,1,100438,0,27,No Annual Leave Record,30.5,17,3.5,8,11
101204,Live,PW,CO,SALARIES,Kelly Villegas,No Grade,WHEELED BIN SERV MAN,FINANCE & WATER SERVICES,WATER SERVICES,0,No Sick Leave Record,25,3,100382,101055,No Sick Leave Record,100122,0,24,5,28.5,19,9,0,18
100142,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Caitlin Good,No Grade,SENIOR EXECUTIVE ARCHITECT,INFRASTRUCTURE & CLIMATE CHANGE,CULTURE,No Sick Leave Record,0.06,No Sick Leave Record,0,100288,100349,0.5,100656,0,30,0,No Annual Leave Record,13,9.5,3,6
101124,Live,PW,CO,SALARIES,Robert Thomas,5,SCHOOL WARDEN,"COMMUNITY, CULTURAL SERVICES & PARKS",HOUSING,0,No Sick Leave Record,No Sick Leave Record,0,101007,100031,0,101068,No Annual Leave Record,30,5,29,11,16.5,0,11.5
100806,Live,PW,CO,SALARIES,Michael Harrison,7,CLERICAL OFFICER,CORPORATE AFFAIRS,IT,0,5.29,No Sick Leave Record,No Sick Leave Record,101335,101214,No Sick Leave Record,100239,0,6.5,0,25,13,15,3,11
101242,Live,PW,CO,SALARIES,Paul Mills,No Grade,CLERICAL OFFICER,CORPORATE AFFAIRS,HOUSING,0,No Sick Leave Record,0,No Sick Leave Record,100125,101109,No Sick Leave Record,101072,0,24,1.5,No Annual Leave Record,11.5,11.5,No Annual Leave Record,5
100149,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Paul Collins,5,ANALYST PROGRAMMER,INFRASTRUCTURE & CLIMATE CHANGE,CORPORATE SERVICES,0,0,0,0,100285,100495,0,100232,0,16,0,13,16,13,3,7.5
101205,Live,PW,CO,SALARIES,Melissa Cain,6,ASSISTANT STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,PARKS,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,4,101001,100824,No Sick Leave Record,100225,0,24,0,24,20,24,0,7.5
100817,Live,PW,CO,SALARIES,Laurie Garcia,7,STAFF OFFICER,FINANCE & WATER SERVICES,HOUSING,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100586,100351,8,101342,0,10,0,32,22,9.5,3,7
100222,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Natalie Thompson,No Grade,CLERICAL OFFICER,HOUSING,IT,0,0,No Sick Leave Record,0,100006,100268,0,100548,0,28.5,No Annual Leave Record,35,19,20.5,0,3
101013,Live,PW,CO,SALARIES,Angel Larsen,5,WHEELED BIN SERV MAN,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,0,0,1,No Sick Leave Record,100690,100784,0,101207,No Annual Leave Record,32,No Annual Leave Record,29,19,No Annual Leave Record,9,7
101017,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Robert Thompson,7,EXECUTIVE ENGINEER,PLANNING & ECONOMIC DEVELOPMENT,LAW,0,No Sick Leave Record,0,No Sick Leave Record,100105,100497,No Sick Leave Record,100925,0,No Annual Leave Record,0,13,24.5,9,3,9.5
100711,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Candace Clarke,3,AREA COMMUNITY OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,HUMAN RESOURCES,0,0,No Sick Leave Record,No Sick Leave Record,100237,100794,0,100416,0,30,1.5,No Annual Leave Record,23,19.5,0,4
100151,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Thomas Lynch,No Grade,BUILDING CONTROL INSPECTOR,INFRASTRUCTURE & CLIMATE CHANGE,CULTURE,0,No Sick Leave Record,0,No Sick Leave Record,100204,100453,No Sick Leave Record,100683,0,30,1,37,20,21,0,1
100744,Live,PW,CO,SALARIES,Logan Miranda,3,GENERAL OPERATIVE,CORPORATE AFFAIRS,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,69.5,No Sick Leave Record,No Sick Leave Record,100059,100778,No Sick Leave Record,100602,0,30,1.5,24.5,16,16,3,No Annual Leave Record
100388,Live,PW,CO,SALARIES,Eduardo Daniels,7,CLERICAL OFFICER,PLANNING & ECONOMIC DEVELOPMENT,HOUSING,No Sick Leave Record,0.02,21,0,100729,101026,0,100724,0,30,1,37,14,9.5,7,7
101061,Live,PW,CO,SALARIES,Courtney Wagner,6,SCHOOL WARDEN,"COMMUNITY, CULTURAL SERVICES & PARKS",PARKS,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100487,100800,No Sick Leave Record,100933,No Annual Leave Record,24,3.5,32,No Annual Leave Record,7.5,14,0.5
100382,Live,PW,CO,SALARIES,Angela Burke,7,SYSTEMS ANALYST,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,4,No Sick Leave Record,101160,100706,No Sick Leave Record,100430,0,19,5,32.5,26,10.5,0,27
100793,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Bruce Mathews,No Grade,GENERAL OPERATIVE,"COMMUNITY, CULTURAL SERVICES & PARKS",HOUSING,0,No Sick Leave Record,0,0,100437,100084,0,100769,0,30,5,33,24,15.5,2.5,14
100687,Live,TW,CO,FORTNIGHTLY WAGES - DLR,Daniel Ellis,5,ADMINISTRATIVE OFFICER,ARCHITECTS,CULTURE,0,0,0,No Sick Leave Record,100725,100882,No Sick Leave Record,101335,No Annual Leave Record,30,1,31,23.5,17,7,2
